大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
电Ｚ,電Ｚ,Ｚ力量的结晶。会将电属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把電屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將電屬性的招式升級成Ｚ招式。
草Ｚ,草Ｚ,Ｚ力量的结晶。会将草属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把草屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將草屬性的招式升級成Ｚ招式。
冰Ｚ,冰Ｚ,Ｚ力量的结晶。会将冰属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把冰屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將冰屬性的招式升級成Ｚ招式。
格斗Ｚ,格鬥Ｚ,Ｚ力量的结晶。会将格斗属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把格鬥屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將格鬥屬性的招式升級成Ｚ招式。
毒Ｚ,毒Ｚ,Ｚ力量的结晶。会将毒属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把毒屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將毒屬性的招式升級成Ｚ招式。
地面Ｚ,地面Ｚ,Ｚ力量的结晶。会将地面属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把地面屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將地面屬性的招式升級成Ｚ招式。
飞行Ｚ,飛行Ｚ,Ｚ力量的结晶。会将飞行属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把飛行屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將飛行屬性的招式升級成Ｚ招式。
超能力Ｚ,超能力Ｚ,Ｚ力量的结晶。会将超能力属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把超能力屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將超能力屬性的招式升級成Ｚ招式。
虫Ｚ,蟲Ｚ,Ｚ力量的结晶。会将虫属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把蟲屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將蟲屬性的招式升級成Ｚ招式。
岩石Ｚ,岩石Ｚ,Ｚ力量的结晶。会将岩石属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把岩石屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將岩石屬性的招式升級成Ｚ招式。
幽灵Ｚ,幽靈Ｚ,Ｚ力量的结晶。会将幽灵属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把幽靈屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將幽靈屬性的招式升級成Ｚ招式。
龙Ｚ,龍Ｚ,Ｚ力量的结晶。会将龙属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把龍屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將龍屬性的招式升級成Ｚ招式。
恶Ｚ,惡Ｚ,Ｚ力量的结晶。会将恶属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把惡屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將惡屬性的招式升級成Ｚ招式。
钢Ｚ,鋼Ｚ,Ｚ力量的结晶。会将钢属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把鋼屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將鋼屬性的招式升級成Ｚ招式。
妖精Ｚ,妖精Ｚ,Ｚ力量的结晶。会将妖精属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把妖精屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將妖精屬性的招式升級成Ｚ招式。
皮卡丘Ｚ,皮卡丘Ｚ,Ｚ力量的结晶。会将皮卡丘的伏特攻击升级成Ｚ招式。,Ｚ力量的結晶。會把皮卡丘的伏特攻擊升級為Ｚ招式。,Ｚ力量的結晶。會將皮卡丘的伏特攻擊升級成Ｚ招式。
银色王冠,銀色王冠,银色的美丽王冠。有些人收到它会很高兴。,銀色的美麗王冠。有些人收到它會很高興。,銀色的美麗王冠。有些人收到它會很高興。
金色王冠,金色王冠,金色的美丽王冠。比银色王冠珍贵。有些人收到它会很高兴。,金色的美麗王冠。比銀色王冠更珍貴。有些人收到它會很高興。,金色的美麗王冠。比銀色王冠珍貴。有些人收到它會很高興。
Ｚ手环,Ｚ手環,通过使用训练家的气力和体力来让宝可梦释放出Ｚ力量的神奇手环。,透過使用訓練家的氣力和體力來讓寶可夢釋放出Ｚ力量的神奇手環。,通過使用訓練家的氣力和體力來讓寶可夢釋放出Ｚ力量的神奇手環。
狙射树枭Ｚ,狙射樹梟Ｚ,Ｚ力量的结晶。会将狙射树枭的缝影升级成Ｚ招式。,Ｚ力量的結晶。會把狙射樹梟的縫影升級為Ｚ招式。,Ｚ力量的結晶。會將狙射樹梟的縫影升級成Ｚ招式。
炽焰咆哮虎Ｚ,熾焰咆哮虎Ｚ,Ｚ力量的结晶。会将炽焰咆哮虎的ＤＤ金勾臂升级成Ｚ招式。,Ｚ力量的結晶。會把熾焰咆哮虎的ＤＤ金勾臂升級為Ｚ招式。,Ｚ力量的結晶。會將熾焰咆哮虎的ＤＤ金勾臂升級成Ｚ招式。
西狮海壬Ｚ,西獅海壬Ｚ,Ｚ力量的结晶。会将西狮海壬的泡影的咏叹调升级成Ｚ招式。,Ｚ力量的結晶。會把西獅海壬的泡影的詠歎調升級為Ｚ招式。,Ｚ力量的結晶。會將西獅海壬的泡影的詠嘆調升級成Ｚ招式。
卡璞Ｚ,卡璞Ｚ,Ｚ力量的结晶。会将卡璞们的自然之怒升级成Ｚ招式。,Ｚ力量的結晶。會把卡璞們的自然之怒升級為Ｚ招式。,Ｚ力量的結晶。會將卡璞們的自然之怒升級成Ｚ招式。
玛夏多Ｚ,瑪夏多Ｚ,Ｚ力量的结晶。会将玛夏多的暗影偷盗升级成Ｚ招式。,Ｚ力量的結晶。會把瑪夏多的暗影偷盜升級為Ｚ招式。,Ｚ力量的結晶。會將瑪夏多的暗影偷盜升級成Ｚ招式。
阿罗雷Ｚ,阿羅雷Ｚ,Ｚ力量的结晶。会将阿罗拉地区雷丘的十万伏特升级成Ｚ招式。,Ｚ力量的結晶。會把阿羅拉地區雷丘的十萬伏特升級為Ｚ招式。,Ｚ力量的結晶。會將阿羅拉地區雷丘的十萬伏特升級成Ｚ招式。
卡比兽Ｚ,卡比獸Ｚ,Ｚ力量的结晶。会将卡比兽的终极冲击升级成Ｚ招式。,Ｚ力量的結晶。會把卡比獸的終極衝擊升級為Ｚ招式。,Ｚ力量的結晶。會將卡比獸的終極衝擊升級成Ｚ招式。
伊布Ｚ,伊布Ｚ,Ｚ力量的结晶。会将伊布的珍藏升级成Ｚ招式。,Ｚ力量的結晶。會把伊布的珍藏升級為Ｚ招式。,Ｚ力量的結晶。會將伊布的珍藏升級成Ｚ招式。
梦幻Ｚ,夢幻Ｚ,Ｚ力量的结晶。会将梦幻的精神强念升级成Ｚ招式。,Ｚ力量的結晶。會把夢幻的精神強念升級為Ｚ招式。,Ｚ力量的結晶。會將夢幻的精神強念升級成Ｚ招式。
一般Ｚ,一般Ｚ,可用它来制造用于对战并能将一般属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把一般屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將一般屬性招式升級成Ｚ招式的Ｚ力量結晶。
火Ｚ,火Ｚ,可用它来制造用于对战并能将火属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把火屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將火屬性招式升級成Ｚ招式的Ｚ力量結晶。
水Ｚ,水Ｚ,可用它来制造用于对战并能将水属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把水屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將水屬性招式升級成Ｚ招式的Ｚ力量結晶。
电Ｚ,電Ｚ,可用它来制造用于对战并能将电属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把電屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將電屬性招式升級成Ｚ招式的Ｚ力量結晶。
草Ｚ,草Ｚ,可用它来制造用于对战并能将草属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把草屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將草屬性招式升級成Ｚ招式的Ｚ力量結晶。
冰Ｚ,冰Ｚ,可用它来制造用于对战并能将冰属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把冰屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將冰屬性招式升級成Ｚ招式的Ｚ力量結晶。
格斗Ｚ,格鬥Ｚ,可用它来制造用于对战并能将格斗属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把格鬥屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將格鬥屬性招式升級成Ｚ招式的Ｚ力量結晶。
毒Ｚ,毒Ｚ,可用它来制造用于对战并能将毒属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把毒屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將毒屬性招式升級成Ｚ招式的Ｚ力量結晶。
地面Ｚ,地面Ｚ,可用它来制造用于对战并能将地面属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把地面屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將地面屬性招式升級成Ｚ招式的Ｚ力量結晶。
飞行Ｚ,飛行Ｚ,可用它来制造用于对战并能将飞行属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把飛行屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將飛行屬性招式升級成Ｚ招式的Ｚ力量結晶。
超能力Ｚ,超能力Ｚ,可用它来制造用于对战并能将超能力属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把超能力屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將超能力屬性招式升級成Ｚ招式的Ｚ力量結晶。
虫Ｚ,蟲Ｚ,可用它来制造用于对战并能将虫属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把蟲屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將蟲屬性招式升級成Ｚ招式的Ｚ力量結晶。
岩石Ｚ,岩石Ｚ,可用它来制造用于对战并能将岩石属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把岩石屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將岩石屬性招式升級成Ｚ招式的Ｚ力量結晶。
幽灵Ｚ,幽靈Ｚ,可用它来制造用于对战并能将幽灵属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把幽靈屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將幽靈屬性招式升級成Ｚ招式的Ｚ力量結晶。
龙Ｚ,龍Ｚ,可用它来制造用于对战并能将龙属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把龍屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將龍屬性招式升級成Ｚ招式的Ｚ力量結晶。
恶Ｚ,惡Ｚ,可用它来制造用于对战并能将恶属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把惡屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將惡屬性招式升級成Ｚ招式的Ｚ力量結晶。
钢Ｚ,鋼Ｚ,可用它来制造用于对战并能将钢属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把鋼屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將鋼屬性招式升級成Ｚ招式的Ｚ力量結晶。
妖精Ｚ,妖精Ｚ,可用它来制造用于对战并能将妖精属性招式升级成Ｚ招式的Ｚ力量结晶。,會製造出把妖精屬性招式升級為Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將妖精屬性招式升級成Ｚ招式的Ｚ力量結晶。
皮卡丘Ｚ,皮卡丘Ｚ,可用它来制造用于对战并能将皮卡丘的伏特攻击升级成特殊Ｚ招式的Ｚ力量结晶。,會製造出把皮卡丘的伏特攻擊升級為特殊Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將皮卡丘的伏特攻擊升級成特殊Ｚ招式的Ｚ力量結晶。
狙射树枭Ｚ,狙射樹梟Ｚ,可用它来制造用于对战并能将狙射树枭的缝影升级成特殊Ｚ招式的Ｚ力量结晶。,會製造出把狙射樹梟的縫影升級為特殊Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將狙射樹梟的縫影升級成特殊Ｚ招式的Ｚ力量結晶。
炽焰咆哮虎Ｚ,熾焰咆哮虎Ｚ,可用它来制造用于对战并能将炽焰咆哮虎的ＤＤ金勾臂升级成特殊Ｚ招式的Ｚ力量结晶。,會製造出把熾焰咆哮虎的ＤＤ金勾臂升級為特殊Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將熾焰咆哮虎的ＤＤ金勾臂升級成特殊Ｚ招式的Ｚ力量結晶。
西狮海壬Ｚ,西獅海壬Ｚ,可用它来制造用于对战并能将西狮海壬的泡影的咏叹调升级成特殊Ｚ招式的Ｚ力量结晶。,會製造出把西獅海壬的泡影的詠歎調升級為特殊Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將西獅海壬的泡影的詠嘆調升級成特殊Ｚ招式的Ｚ力量結晶。
卡璞Ｚ,卡璞Ｚ,可用它来制造用于对战并能将卡璞们的自然之怒升级成特殊Ｚ招式的Ｚ力量结晶。,會製造出把卡璞們的自然之怒升級為特殊Ｚ招式的Ｚ力量結晶。,可用它來製造用於對戰並能將卡璞們的自然之怒升級成特殊Ｚ招式的Ｚ力量結晶。
